Berry Pie Oatmeal,445,Breakfast
Berry Waffle Taco,350,Breakfast
Breakfast Banana Split,354,Breakfast
Cheesy Mushroom,345,Breakfast
Speedy Huevos Rancheros,235,Breakfast
Strawberry Yogurt Smoothie,207,Breakfast
Yogurt Breakfast,100,Breakfast
Avocado Egg Salad Sandwich,350,Lunch
BLT Pasta Salad,431,Lunch
Buffalo Chicken Wraps,550,Lunch
Italian Deli Pinwheel Sandwiches,390,Lunch
Linguine with Bacon,358,Lunch
Tomato Salad,225,Lunch
Zoodles with Avocado,284,Lunch
Buffalo Chicken Enchiladas,568,Dinner
Chicken Scampi Pasta,212,Dinner
Instant Pot Salmon,161,Dinner
Lighter Chicken Parmesan,500,Dinner
Mac and Cheese,310,Dinner
Ravioli with Sage-Walnut Butter,613,Dinner
Tortellini in Brodo,270,Dinner
Broccoli-Cheddar Pockets,290,Snack
Garlic Bagel Chips,130,Snack
Ham Pinwheels,175,Snack
Nutella Egg Cream,80,Snack
Pepperoni Pizza Bread,200,Snack
Pizza Pockets,310,Snack
Sesame Potato Chips,150,Snack
Blueberry Cheesecake Egg Rolls,100,Dessert
Chocolate Covered Oreos,100,Dessert
Chocolate Pudding,40,Dessert
Cookie Dough Fudge,74,Dessert
Cookie Dough Ice Cream Sandwiches,120,Dessert
Nutella Pops,140,Dessert
Oreo Truffles,100,Dessert
